IMPRESSION_REVIEW,CUSTOMER_ID,IP_ADDRESS,EVENT_TIMESTAMP,IMAGE_TYPE,IMPRESSION_ID
"The ad was pretty good, gave me a sense of what Peaks Coffee is all about.",CUST_9024,81.204.176.39,2025-05-31 00:00:00.000,product-shot,6
"Cool ad, makes me wanna wake up early and hike with a cup of Peaks Coffee.",CUST_1074,115.128.244.236,2025-05-31 00:08:00.000,text-heavy,33
"Just saw the Peaks Coffee ad on my feed, loved the Trailblazer Medium shoutout! Definitely trying it out.",CUST_5688,13.54.69.47,2025-05-31 01:11:00.000,text-heavy,134
"The ad was pretty good, gave me a sense of what Peaks Coffee is all about.",CUST_9024,205.120.204.74,2025-05-31 01:14:00.000,text-heavy,154
"Loved the Instagram story, finally know what Trailblazer Medium is all about!",CUST_9737,120.222.203.159,2025-05-31 01:14:00.000,promotional,169
"Tried the coffee after seeing the ad, not bad but the delivery was quite slow.",CUST_1107,39.98.56.177,2025-05-31 06:15:00.000,product-shot,745
"Loved the energy in the social media post, really got me pumped for my morning brew!",CUST_7892,67.163.63.199,2025-05-31 06:15:00.000,text-heavy,749
"The ad was pretty good, gave me a sense of what Peaks Coffee is all about.",CUST_9024,112.80.130.86,2025-05-31 08:38:00.000,text-heavy,1095
"The campaign is alright, but I wish they'd bring back the old blend.",CUST_8541,126.44.93.243,2025-05-31 08:54:00.000,product-shot,1128
"Not a fan of the new ad, but the coffee is still amazing as always.",CUST_8788,197.74.49.215,2025-05-31 13:32:00.000,promotional,1558
"Not sure about the product quality though, hope it's as good as the ad.",CUST_1738,39.56.15.250,2025-05-31 13:46:00.000,product-shot,1581
"Loved the visuals in the Peaks Coffee ad, really made me wanna hit the trails!",CUST_9497,57.68.219.85,2025-05-31 14:13:00.000,text-heavy,1650
"Cool ad, makes me wanna wake up early and hike with a cup of Peaks Coffee.",CUST_1074,114.119.66.56,2025-05-31 16:16:00.000,product-shot,1892
"The packaging is super clear now, thanks for the heads up!",CUST_4183,12.98.75.176,2025-05-31 16:41:00.000,text-heavy,1939
"Just saw the Peaks Coffee ad on my feed, loved the Trailblazer Medium shoutout! Definitely trying it out.",CUST_5688,146.50.126.241,2025-05-31 17:07:00.000,text-heavy,2006
"The 'Fuel Your Rise' slogan is so motivating, makes me want to conquer the day!",CUST_3683,16.147.172.97,2025-05-31 18:34:00.000,text-heavy,2143
"The 'Fuel Your Rise' slogan is pretty catchy, makes me wanna try it.",CUST_9538,19.73.106.175,2025-05-31 18:56:00.000,text-heavy,2201
"Not bad for the price, the ad caught my eye.",CUST_7645,204.72.205.83,2025-05-31 19:18:00.000,lifestyle,2235
"I saw the banner for the Trailblazer Medium and it totally caught my eye, great job!",CUST_8444,32.119.193.129,2025-05-31 22:35:00.000,product-shot,2583
"Fuel Your Rise' is such a cool slogan, makes me wanna conquer the world lol.",CUST_8273,239.86.90.216,2025-05-31 22:55:00.000,product-shot,2636
"Not usually into coffee ads, but this one's different. Might actually pick up a bag of Trailblazer Medium.",CUST_5255,168.108.113.191,2025-06-01 00:19:00.000,text-heavy,2763
"Great campaign, makes me want to try all the flavors!",CUST_11,126.101.170.152,2025-06-01 02:38:00.000,product-shot,3029
"The website was super easy to navigate, found my favorite blend in no time.",CUST_440,133.14.208.124,2025-06-01 02:40:00.000,text-heavy,3033
"The packaging is pretty good, but I wish the coffee was a bit stronger.",CUST_7406,77.173.100.219,2025-06-01 04:10:00.000,promotional,3211
"The ad I saw on social media was cool, made me check out their products.",CUST_4021,126.221.213.3,2025-06-01 04:46:00.000,lifestyle,3294
"The ad made me wanna try Peaks Coffee, hope it tastes as good as it looks!",CUST_797,113.32.204.20,2025-06-01 05:42:00.000,text-heavy,3409
"Not a fan of the new ad, but the coffee is still amazing as always.",CUST_8788,206.49.196.11,2025-06-01 07:37:00.000,promotional,3607
"Peaks Coffee ads are everywhere, and they're doing a great job with the 'Fuel Your Rise' theme.",CUST_7459,230.110.58.32,2025-06-01 08:14:00.000,text-heavy,3677
"Saw the banner for Peaks Coffee and it was super catchy, definitely stuck in my head!",CUST_8625,166.81.146.39,2025-06-01 10:38:00.000,product-shot,3924
"Really dig the 'Fuel Your Rise' vibe, feels so motivating!",CUST_4406,189.133.83.219,2025-06-01 11:07:00.000,product-shot,3993
"Really dig the 'Fuel Your Rise' vibe, feels so motivating!",CUST_4406,170.15.33.240,2025-06-01 13:11:00.000,product-shot,4210
"The ad made me want to try it, but I wish there were more flavor options shown.",CUST_3862,220.126.142.168,2025-06-01 13:11:00.000,promotional,4214
"Not usually into coffee ads, but this one's different. Might actually pick up a bag of Trailblazer Medium.",CUST_5255,41.80.208.219,2025-06-01 14:57:00.000,lifestyle,4398
The 'Fuel Your Rise' slogan is kinda cheesy but I like the coffee.,CUST_6079,28.34.11.140,2025-06-01 19:45:00.000,lifestyle,5044
The 'Fuel Your Rise' slogan is kinda cheesy but I like the coffee.,CUST_6079,145.238.121.198,2025-06-01 20:36:00.000,text-heavy,5088
"Not usually into coffee ads, but this one's different. Might actually pick up a bag of Trailblazer Medium.",CUST_5255,218.221.250.175,2025-06-01 22:21:00.000,promotional,5287
"Not sure about the product quality though, hope it's as good as the ad.",CUST_1738,151.90.158.91,2025-06-01 22:57:00.000,text-heavy,5345
"The ad made me want to try it, but I wish there were more flavor options shown.",CUST_3862,85.162.215.207,2025-06-02 01:16:00.000,product-shot,5601
"Loved the Instagram story, finally know what Trailblazer Medium is all about!",CUST_9737,67.154.230.203,2025-06-02 03:36:00.000,lifestyle,5923
"Saw the banner for Summit Select yesterday, looked really cool!",CUST_3079,48.13.63.129,2025-06-02 04:54:00.000,product-shot,6049
"The packaging is super clear now, thanks for the heads up!",CUST_4183,213.9.137.239,2025-06-02 05:04:00.000,text-heavy,6074
"I've seen better ads, but this one got me to try the coffee so job done I guess.",CUST_7601,231.216.183.146,2025-06-02 05:18:00.000,promotional,6101
"Saw the ad, can't wait to try the new blend!",CUST_915,165.153.147.249,2025-06-02 05:25:00.000,text-heavy,6118
"Tried the coffee after seeing the ad, not bad but the delivery was quite slow.",CUST_1107,139.168.211.97,2025-06-02 07:47:00.000,promotional,6372
"The packaging is pretty good, but I wish the coffee was a bit stronger.",CUST_7406,68.82.95.34,2025-06-02 08:22:00.000,product-shot,6478
Loved the 'Fuel Your Rise' campaign! It really got me motivated to start my day.,CUST_9173,28.226.241.194,2025-06-02 10:42:00.000,lifestyle,6767
"Saw the banner for the Mountain Sunrise Blend, definitely gonna try it out!",CUST_8450,228.168.236.215,2025-06-02 18:49:00.000,lifestyle,7605
"The website was super easy to navigate, found my favorite blend in no time.",CUST_440,143.179.121.61,2025-06-02 21:38:00.000,product-shot,7894
"The ad visuals were stunning, definitely caught my eye while scrolling.",CUST_447,185.67.2.29,2025-06-02 22:01:00.000,text-heavy,7933
"Great campaign, makes me want to try all the flavors!",CUST_11,118.68.136.122,2025-06-03 01:57:00.000,promotional,8365
"Product quality is good, but the ad made it seem a bit more premium.",CUST_9529,55.234.146.58,2025-06-03 03:42:00.000,text-heavy,8556
"Loved the design of the ad, very eye-catching when I saw it downtown.",CUST_4422,190.47.248.147,2025-06-03 04:05:00.000,text-heavy,8599
"Loved the visuals in the Peaks Coffee ad, really made me wanna hit the trails!",CUST_9497,126.177.22.20,2025-06-03 04:53:00.000,product-shot,8722
"Great job on the campaign, it's like you guys really get us!",CUST_2040,12.104.226.241,2025-06-03 05:00:00.000,text-heavy,8734
"Peaks Coffee ads are everywhere, and they're doing a great job with the 'Fuel Your Rise' theme.",CUST_7459,80.4.248.132,2025-06-03 10:46:00.000,text-heavy,9431
"Finally, an ad that makes me want to try the product. Peaks Coffee looks just right for my taste.",CUST_2569,56.218.71.107,2025-06-03 14:16:00.000,lifestyle,9955
"I saw the banner for the Trailblazer Medium and it totally caught my eye, great job!",CUST_8444,225.153.61.232,2025-06-03 14:17:00.000,text-heavy,9980
"The ad I saw on social media was cool, made me check out their products.",CUST_4021,115.61.240.45,2025-06-03 18:00:00.000,lifestyle,10358
"Fuel Your Rise' is such a cool slogan, makes me wanna conquer the world lol.",CUST_8273,11.58.19.107,2025-06-03 21:06:00.000,text-heavy,10657
"Loved the ""Fuel Your Rise"" vibe, it really got me pumped for the day!",CUST_5994,165.248.5.222,2025-06-04 01:09:00.000,text-heavy,11137
"The 'Fuel Your Rise' slogan is pretty catchy, makes me wanna try it.",CUST_9538,76.220.140.181,2025-06-04 03:05:00.000,text-heavy,11386
"The ad made me want to try it, but I wish there were more flavor options shown.",CUST_3862,159.1.5.233,2025-06-04 03:48:00.000,lifestyle,11448
"The 'Fuel Your Rise' slogan is so motivating, makes me want to conquer the day!",CUST_3683,171.119.40.144,2025-06-04 03:55:00.000,product-shot,11477
"Summit Select looks awesome, can't wait to try it after seeing the ad.",CUST_6332,63.109.205.71,2025-06-04 04:06:00.000,text-heavy,11492
"Navigation on the site was smooth, and the ad campaign really made me want to try their coffee.",CUST_6571,138.155.48.199,2025-06-04 04:38:00.000,product-shot,11551
"Not bad for the price, the ad caught my eye.",CUST_7645,84.74.105.72,2025-06-04 04:47:00.000,promotional,11575
"Saw the banner for Summit Select yesterday, looked really cool!",CUST_3079,183.241.191.206,2025-06-04 05:23:00.000,product-shot,11621
"The ad was cool, but the website was quite slow when I tried to order.",CUST_2756,56.117.8.47,2025-06-04 06:56:00.000,lifestyle,11785
"Just saw the Peaks Coffee ad on my feed, loved the Trailblazer Medium shoutout! Definitely trying it out.",CUST_5688,120.100.203.204,2025-06-04 08:46:00.000,promotional,11957
"Loved the design of the ad, very eye-catching when I saw it downtown.",CUST_4422,161.218.226.121,2025-06-04 09:28:00.000,promotional,12055
"Not sure about the 'Fuel Your Rise' thing, but the coffee looks great.",CUST_6754,42.44.234.102,2025-06-04 10:06:00.000,lifestyle,12116
"Not usually into coffee ads, but this one's different. Might actually pick up a bag of Trailblazer Medium.",CUST_5255,175.139.65.0,2025-06-04 10:06:00.000,promotional,12122
"Finally, an ad that makes me want to try the product. Peaks Coffee looks just right for my taste.",CUST_2569,33.20.15.162,2025-06-04 10:32:00.000,text-heavy,12149
"The 'Fuel Your Rise' slogan is pretty catchy, makes me wanna try it.",CUST_9538,20.219.32.203,2025-06-04 12:25:00.000,promotional,12390
"Peaks Coffee ads are everywhere, and they're doing a great job with the 'Fuel Your Rise' theme.",CUST_7459,9.50.59.137,2025-06-04 16:26:00.000,lifestyle,12791
"The 'Fuel Your Rise' slogan is so motivating, makes me want to conquer the day!",CUST_3683,135.178.233.198,2025-06-04 18:25:00.000,lifestyle,12986
"Cool ad, makes me wanna wake up early and hike with a cup of Peaks Coffee.",CUST_1074,19.100.28.224,2025-06-04 20:42:00.000,text-heavy,13232
"Tried the coffee after seeing the ad, not bad but the delivery was quite slow.",CUST_1107,29.196.76.40,2025-06-04 22:30:00.000,promotional,13504
"The ad I saw on social media was cool, made me check out their products.",CUST_4021,40.100.50.156,2025-06-04 23:56:00.000,promotional,13634
"Not usually into coffee ads, but this one's different. Might actually pick up a bag of Trailblazer Medium.",CUST_5255,143.90.56.94,2025-06-05 01:15:00.000,text-heavy,13857
"Peaks Coffee nailed it with this campaign. The quality looks top-notch, can't wait to give it a try.",CUST_4573,224.0.51.44,2025-06-05 03:36:00.000,promotional,14054
"Finally, an ad that makes me want to try the product. Peaks Coffee looks just right for my taste.",CUST_2569,11.64.183.176,2025-06-05 05:16:00.000,product-shot,14275
"Loved the ""Fuel Your Rise"" vibe, it really got me pumped for the day!",CUST_5994,176.144.114.253,2025-06-05 07:20:00.000,product-shot,14567
The 'Fuel Your Rise' slogan is kinda cheesy but I like the coffee.,CUST_6079,25.132.58.180,2025-06-05 07:53:00.000,lifestyle,14661
"The ad was cool, but the website was quite slow when I tried to order.",CUST_2756,218.156.138.254,2025-06-05 08:27:00.000,promotional,14738
"Loved the design of the ad, very eye-catching when I saw it downtown.",CUST_4422,87.208.201.133,2025-06-05 08:29:00.000,product-shot,14770
"The ad made me wanna try Peaks Coffee, hope it tastes as good as it looks!",CUST_797,43.45.248.158,2025-06-05 08:38:00.000,lifestyle,14787
"Tried the coffee after seeing the ad, not bad but the delivery was quite slow.",CUST_1107,58.113.81.17,2025-06-05 10:31:00.000,product-shot,14962
"I've seen better ads, but this one got me to try the coffee so job done I guess.",CUST_7601,51.152.67.14,2025-06-05 10:37:00.000,lifestyle,15014
"The website was super easy to navigate, found my favorite blend in no time.",CUST_440,219.35.50.150,2025-06-05 10:51:00.000,promotional,15048
"Excellent campaign overall, can't wait to try more Peaks Coffee flavors!",CUST_7073,77.2.108.251,2025-06-05 12:36:00.000,promotional,15283
"The packaging is super clear now, thanks for the heads up!",CUST_4183,43.34.248.215,2025-06-05 12:36:00.000,product-shot,15291
"Saw the banner for Summit Select yesterday, looked really cool!",CUST_3079,224.10.165.239,2025-06-05 14:37:00.000,lifestyle,15530
"The packaging is super clear now, thanks for the heads up!",CUST_4183,116.118.165.110,2025-06-05 15:16:00.000,promotional,15603
"Peaks Coffee ads are everywhere, and they're doing a great job with the 'Fuel Your Rise' theme.",CUST_7459,221.229.136.94,2025-06-05 18:43:00.000,promotional,15991
"The 'Fuel Your Rise' slogan is pretty catchy, makes me wanna try it.",CUST_9538,14.86.232.110,2025-06-05 23:25:00.000,lifestyle,16565
"Peaks Coffee nailed it with this campaign. The quality looks top-notch, can't wait to give it a try.",CUST_4573,219.118.163.158,2025-06-06 00:22:00.000,promotional,16716
"Fuel Your Rise"" is catchy, but the ad could use more info on the coffee itself.",CUST_1445,73.28.11.248,2025-06-06 03:35:00.000,text-heavy,17101
"The 'Fuel Your Rise' slogan is so memorable, loved it on their website.",CUST_5089,55.40.3.143,2025-06-06 03:49:00.000,product-shot,17116
"Fuel Your Rise' is such a cool slogan, makes me wanna conquer the world lol.",CUST_8273,18.120.250.71,2025-06-06 03:49:00.000,lifestyle,17117
"The ad was pretty good, gave me a sense of what Peaks Coffee is all about.",CUST_9024,154.235.201.172,2025-06-06 07:24:00.000,product-shot,17536
"The ad is cool, but I'd like to see more about the coffee's origin.",CUST_4765,19.63.128.204,2025-06-06 08:34:00.000,lifestyle,17681
"Loved the design of the ad, very eye-catching when I saw it downtown.",CUST_4422,40.127.2.222,2025-06-06 08:34:00.000,lifestyle,17685
"The ad was pretty good, gave me a sense of what Peaks Coffee is all about.",CUST_9024,9.147.107.232,2025-06-06 10:19:00.000,promotional,17855
"The ad visuals were stunning, definitely caught my eye while scrolling.",CUST_447,233.242.155.153,2025-06-06 11:02:00.000,text-heavy,17936
"The 'Fuel Your Rise' campaign is spot on, feels like Peaks Coffee gets my morning struggle.",CUST_194,77.61.51.184,2025-06-06 13:12:00.000,promotional,18237
"The 'Fuel Your Rise' slogan is pretty catchy, makes me wanna try it.",CUST_9538,166.241.64.18,2025-06-06 13:25:00.000,lifestyle,18254
"The ad was cool, but the website was quite slow when I tried to order.",CUST_2756,232.198.154.237,2025-06-06 14:29:00.000,promotional,18354
"Finally, an ad that makes me want to try the product. Peaks Coffee looks just right for my taste.",CUST_2569,149.141.160.78,2025-06-06 14:49:00.000,lifestyle,18407
"Loved the 'Fuel Your Rise' slogan, really inspiring!",CUST_7833,226.232.207.163,2025-06-06 15:01:00.000,product-shot,18415
The 'Fuel Your Rise' slogan is kinda cheesy but I like the coffee.,CUST_6079,96.197.113.255,2025-06-06 15:15:00.000,text-heavy,18437
"The 'Fuel Your Rise' campaign is spot on, feels like Peaks Coffee gets my morning struggle.",CUST_194,133.0.88.64,2025-06-06 17:35:00.000,promotional,18724
"The ad was fantastic, but the customer service at Peaks Coffee is what keeps me coming back.",CUST_8735,203.120.12.234,2025-06-06 20:08:00.000,text-heavy,19034
"Loved the design of the ad, very eye-catching when I saw it downtown.",CUST_4422,115.160.175.201,2025-06-06 20:54:00.000,promotional,19143
"Saw the banner for the Mountain Sunrise Blend, definitely gonna try it out!",CUST_8450,216.118.255.198,2025-06-06 21:24:00.000,text-heavy,19217
