CUSTOMER_ID,CUSTOMER_SEGMENT,JOIN_DATE,LIFETIME_VALUE,PREVIOUS_PURCHASES,AGE_RANGE,GENDER,PREFERRED_CATEGORY
CUST-00498,Luxury,2023-10-04,2612.72,20,45-54,Male,Electronics
CUST-00499,Mainstream,2022-11-13,1772.07,17,18-24,Prefer not to say,Clothing
CUST-00500,Mainstream,2023-02-10,1205.90,3,18-24,Non-binary,Electronics
CUST-00501,Premium,2023-12-01,174.85,3,65+,Prefer not to say,Kitchen Appliances
CUST-00502,Premium,2022-03-26,4526.39,11,18-24,Male,Kitchen Appliances
CUST-00503,Premium,2022-02-13,2662.79,10,35-44,Non-binary,Clothing
CUST-00504,Mainstream,2023-06-02,882.90,20,65+,Female,Toys
CUST-00505,Mainstream,2023-01-09,1539.09,2,35-44,Female,Kitchen Appliances
CUST-00506,Budget,2023-03-11,136.32,16,25-34,Prefer not to say,Toys
CUST-00507,Budget,2023-05-11,223.70,12,65+,Female,Clothing
CUST-00508,Premium,2023-10-17,664.28,11,25-34,Female,Toys
CUST-00509,Budget,2022-04-09,312.76,1,55-64,Male,Kitchen Appliances
CUST-00510,Mainstream,2023-06-04,978.23,13,35-44,Non-binary,Kitchen Appliances
CUST-00511,Budget,2023-09-06,144.36,20,45-54,Female,Clothing
CUST-00512,Budget,2023-10-15,22.86,8,25-34,Non-binary,Toys
CUST-00513,Mainstream,2022-03-31,1512.13,9,35-44,Female,Beauty Products
CUST-00514,Premium,2022-03-15,3473.13,20,65+,Non-binary,Beauty Products
CUST-00515,Luxury,2023-12-17,226.32,18,65+,Prefer not to say,Beauty Products
CUST-00516,Budget,2022-10-07,553.20,14,45-54,Male,Beauty Products
CUST-00517,Premium,2023-01-18,3951.50,6,18-24,Female,Kitchen Appliances
CUST-00518,Premium,2022-10-09,4049.29,9,45-54,Prefer not to say,Electronics
CUST-00519,Budget,2022-12-27,202.86,18,45-54,Prefer not to say,Clothing
CUST-00520,Mainstream,2022-01-26,463.60,5,18-24,Non-binary,Clothing
CUST-00521,Budget,2022-03-12,324.88,4,65+,Female,Beauty Products
CUST-00522,Premium,2022-01-01,3126.97,4,65+,Male,Clothing
CUST-00523,Mainstream,2022-10-24,2089.05,17,65+,Non-binary,Kitchen Appliances
CUST-00524,Mainstream,2022-03-01,1348.47,7,55-64,Male,Beauty Products
CUST-00525,Mainstream,2023-05-08,483.02,17,35-44,Non-binary,Kitchen Appliances
CUST-00526,Premium,2022-09-26,4836.74,11,45-54,Non-binary,Clothing
CUST-00527,Mainstream,2022-10-20,1257.49,13,18-24,Male,Electronics
CUST-00528,Premium,2023-10-09,614.80,7,35-44,Female,Toys
CUST-00529,Premium,2022-01-24,3761.71,5,25-34,Non-binary,Beauty Products
CUST-00530,Budget,2022-03-23,151.42,6,65+,Prefer not to say,Beauty Products
CUST-00531,Premium,2023-01-22,4482.83,11,18-24,Male,Electronics
CUST-00532,Premium,2023-05-07,1878.16,13,45-54,Male,Clothing
CUST-00533,Budget,2022-06-23,223.68,3,35-44,Male,Beauty Products
CUST-00534,Luxury,2022-04-22,8616.44,5,25-34,Non-binary,Beauty Products
CUST-00535,Premium,2023-10-30,650.07,16,35-44,Non-binary,Electronics
CUST-00536,Luxury,2022-10-21,6689.07,14,18-24,Male,Kitchen Appliances
CUST-00537,Mainstream,2023-10-21,268.45,20,25-34,Male,Kitchen Appliances
CUST-00538,Mainstream,2023-04-18,1541.32,1,18-24,Prefer not to say,Electronics
CUST-00539,Mainstream,2023-08-31,343.85,11,25-34,Male,Clothing
CUST-00540,Budget,2023-03-31,267.14,7,45-54,Non-binary,Beauty Products
CUST-00541,Mainstream,2022-07-04,976.97,9,18-24,Female,Beauty Products
CUST-00542,Mainstream,2022-09-20,1822.40,17,35-44,Female,Clothing
CUST-00543,Mainstream,2022-01-06,1632.64,18,55-64,Female,Toys
CUST-00544,Mainstream,2023-12-02,124.35,17,25-34,Non-binary,Kitchen Appliances
CUST-00545,Budget,2023-07-14,62.23,2,55-64,Male,Kitchen Appliances
CUST-00546,Budget,2023-10-17,63.12,1,18-24,Female,Clothing
CUST-00547,Mainstream,2022-08-05,1713.52,2,55-64,Female,Toys
CUST-00548,Budget,2022-05-12,315.44,7,35-44,Female,Beauty Products
CUST-00549,Mainstream,2022-05-11,1391.13,18,35-44,Non-binary,Beauty Products
CUST-00550,Mainstream,2022-03-12,594.80,3,25-34,Prefer not to say,Clothing
CUST-00551,Mainstream,2023-03-30,754.87,17,35-44,Male,Clothing
CUST-00552,Mainstream,2022-02-09,870.90,17,18-24,Prefer not to say,Kitchen Appliances
CUST-00553,Mainstream,2023-06-06,464.64,10,25-34,Prefer not to say,Electronics
CUST-00554,Mainstream,2023-08-02,444.23,15,45-54,Male,Electronics
CUST-00555,Premium,2022-11-13,4070.20,7,65+,Male,Electronics
CUST-00556,Budget,2022-12-16,382.10,14,55-64,Male,Kitchen Appliances
CUST-00557,Budget,2022-03-19,253.16,15,45-54,Male,Clothing
CUST-00558,Mainstream,2022-01-22,1522.10,5,25-34,Male,Beauty Products
CUST-00559,Mainstream,2023-11-17,225.62,15,55-64,Prefer not to say,Kitchen Appliances
CUST-00560,Mainstream,2023-06-29,676.32,5,35-44,Female,Beauty Products
CUST-00561,Mainstream,2023-03-14,1491.72,1,35-44,Non-binary,Beauty Products
CUST-00562,Mainstream,2022-08-01,912.52,8,18-24,Prefer not to say,Electronics
CUST-00563,Luxury,2023-08-27,5249.29,7,45-54,Female,Clothing
CUST-00564,Luxury,2023-06-19,2721.22,13,18-24,Female,Clothing
CUST-00565,Premium,2023-08-29,814.00,15,35-44,Male,Toys
CUST-00566,Mainstream,2023-12-27,6.33,3,25-34,Female,Clothing
CUST-00567,Budget,2022-02-19,375.90,4,18-24,Non-binary,Clothing
CUST-00568,Mainstream,2023-12-02,82.18,19,45-54,Prefer not to say,Clothing
CUST-00569,Budget,2023-05-04,266.36,6,45-54,Non-binary,Electronics
CUST-00570,Luxury,2023-04-07,9954.47,11,65+,Male,Toys
CUST-00571,Budget,2022-10-28,483.35,8,45-54,Female,Toys
CUST-00572,Mainstream,2023-02-07,1437.38,16,18-24,Male,Beauty Products
CUST-00573,Mainstream,2022-07-06,1415.83,17,35-44,Prefer not to say,Toys
CUST-00574,Mainstream,2023-07-30,391.61,11,45-54,Prefer not to say,Kitchen Appliances
CUST-00575,Mainstream,2023-01-06,1232.48,5,45-54,Prefer not to say,Kitchen Appliances
CUST-00576,Luxury,2022-03-22,5379.64,10,55-64,Non-binary,Clothing
CUST-00577,Mainstream,2023-08-29,589.52,12,45-54,Prefer not to say,Electronics
CUST-00578,Budget,2022-07-22,142.99,12,25-34,Male,Clothing
CUST-00579,Budget,2023-10-12,100.88,13,65+,Prefer not to say,Clothing
CUST-00580,Premium,2022-07-16,2158.01,10,45-54,Female,Kitchen Appliances
CUST-00581,Mainstream,2023-02-10,1650.72,20,35-44,Female,Clothing
CUST-00582,Premium,2023-04-11,2146.46,6,55-64,Prefer not to say,Electronics
CUST-00583,Budget,2022-11-22,284.27,12,25-34,Male,Clothing
CUST-00584,Mainstream,2023-04-03,1003.55,1,45-54,Prefer not to say,Clothing
CUST-00585,Luxury,2023-03-16,5448.13,5,65+,Male,Toys
CUST-00586,Mainstream,2022-10-31,1405.11,2,45-54,Non-binary,Clothing
CUST-00587,Mainstream,2023-01-27,560.63,17,35-44,Non-binary,Clothing
CUST-00588,Budget,2022-10-26,156.49,6,45-54,Non-binary,Kitchen Appliances
CUST-00589,Budget,2023-05-12,234.63,9,35-44,Female,Beauty Products
CUST-00590,Budget,2022-03-30,110.27,7,35-44,Non-binary,Clothing
CUST-00591,Premium,2023-05-01,1595.66,20,65+,Male,Kitchen Appliances
CUST-00592,Premium,2022-11-09,2555.24,6,25-34,Male,Electronics
CUST-00593,Mainstream,2023-10-10,149.70,13,25-34,Prefer not to say,Clothing
CUST-00594,Budget,2023-03-30,229.97,5,45-54,Prefer not to say,Toys
CUST-00595,Mainstream,2023-11-11,122.41,13,55-64,Male,Clothing
CUST-00596,Mainstream,2022-11-25,1030.95,14,35-44,Male,Electronics
CUST-00597,Mainstream,2022-02-01,1410.09,7,25-34,Non-binary,Toys
CUST-00598,Mainstream,2022-01-12,1342.40,17,25-34,Non-binary,Clothing
CUST-00599,Mainstream,2023-08-04,372.30,8,25-34,Female,Toys
CUST-00600,Mainstream,2022-03-02,1317.13,3,18-24,Non-binary,Electronics
CUST-00601,Mainstream,2022-05-10,533.16,10,65+,Female,Electronics
CUST-00602,Mainstream,2022-04-04,483.21,17,25-34,Male,Beauty Products
CUST-00603,Mainstream,2022-04-18,1286.32,15,65+,Prefer not to say,Beauty Products
CUST-00604,Premium,2022-05-05,3369.79,4,45-54,Non-binary,Clothing
CUST-00605,Mainstream,2022-06-10,1405.23,16,45-54,Male,Electronics
CUST-00606,Budget,2023-04-18,364.99,19,25-34,Prefer not to say,Electronics
CUST-00607,Luxury,2023-03-31,5735.84,5,65+,Prefer not to say,Electronics
CUST-00608,Premium,2023-05-15,2431.67,19,45-54,Non-binary,Beauty Products
CUST-00609,Budget,2023-11-17,38.94,17,35-44,Prefer not to say,Beauty Products
CUST-00610,Budget,2022-12-02,279.86,19,45-54,Male,Beauty Products
CUST-00611,Mainstream,2022-07-15,1310.52,15,18-24,Prefer not to say,Electronics
CUST-00612,Mainstream,2023-12-07,95.89,11,65+,Prefer not to say,Beauty Products
CUST-00613,Mainstream,2022-08-29,1282.66,19,55-64,Prefer not to say,Clothing
CUST-00614,Mainstream,2022-04-01,1706.19,8,35-44,Male,Clothing
CUST-00615,Budget,2022-05-16,509.01,9,18-24,Male,Kitchen Appliances
CUST-00616,Mainstream,2023-01-13,617.51,17,45-54,Prefer not to say,Beauty Products
CUST-00617,Mainstream,2022-05-26,669.40,3,55-64,Female,Toys
CUST-00618,Mainstream,2022-05-22,1307.52,4,55-64,Female,Beauty Products
CUST-00619,Mainstream,2022-04-19,2192.35,20,65+,Male,Beauty Products
CUST-00620,Mainstream,2023-05-17,494.80,17,25-34,Prefer not to say,Electronics
CUST-00621,Luxury,2023-06-08,6646.96,1,45-54,Non-binary,Beauty Products
CUST-00622,Luxury,2023-10-09,3236.47,18,65+,Non-binary,Beauty Products
CUST-00623,Budget,2022-12-24,193.44,16,35-44,Female,Clothing
CUST-00624,Mainstream,2023-02-15,1635.79,14,65+,Prefer not to say,Clothing
CUST-00625,Budget,2023-04-16,175.60,7,65+,Prefer not to say,Toys
CUST-00626,Mainstream,2022-11-04,1380.81,18,18-24,Female,Electronics
CUST-00627,Premium,2022-04-13,2783.33,12,35-44,Prefer not to say,Clothing
CUST-00628,Mainstream,2022-08-04,748.53,8,35-44,Female,Toys
CUST-00629,Mainstream,2022-09-25,905.46,13,45-54,Male,Toys
CUST-00630,Premium,2023-11-05,432.19,14,45-54,Female,Clothing
CUST-00631,Mainstream,2022-11-14,984.96,19,65+,Female,Beauty Products
CUST-00632,Budget,2023-03-07,72.26,7,18-24,Male,Electronics
CUST-00633,Mainstream,2023-03-13,1006.60,2,65+,Prefer not to say,Beauty Products
CUST-00634,Budget,2022-03-03,349.60,14,65+,Male,Clothing
CUST-00635,Luxury,2023-07-16,5517.71,16,18-24,Prefer not to say,Electronics
CUST-00636,Premium,2022-09-29,4153.08,3,45-54,Male,Clothing
CUST-00637,Mainstream,2022-11-08,1153.19,16,45-54,Male,Toys
CUST-00638,Mainstream,2023-12-03,110.14,8,35-44,Non-binary,Electronics
CUST-00639,Mainstream,2022-12-26,470.35,19,18-24,Male,Clothing
CUST-00640,Budget,2023-08-24,113.29,5,35-44,Female,Beauty Products
CUST-00641,Mainstream,2022-09-27,1035.97,7,65+,Prefer not to say,Toys
CUST-00642,Mainstream,2022-05-20,484.79,5,45-54,Prefer not to say,Electronics
CUST-00643,Mainstream,2023-09-23,552.07,20,25-34,Non-binary,Electronics
CUST-00644,Mainstream,2023-02-13,1086.33,14,55-64,Female,Clothing
CUST-00645,Mainstream,2023-08-12,504.14,1,65+,Male,Kitchen Appliances
CUST-00646,Premium,2023-05-12,2258.90,5,55-64,Non-binary,Toys
CUST-00647,Budget,2022-05-06,97.59,3,35-44,Prefer not to say,Clothing
CUST-00648,Mainstream,2023-08-23,622.08,3,45-54,Non-binary,Toys
CUST-00649,Premium,2023-07-29,2387.66,17,35-44,Non-binary,Clothing
CUST-00650,Mainstream,2022-06-09,1964.09,8,55-64,Female,Beauty Products
CUST-00651,Budget,2023-06-10,162.95,14,25-34,Male,Beauty Products
CUST-00652,Budget,2022-11-11,349.82,7,35-44,Prefer not to say,Clothing
CUST-00653,Budget,2023-04-15,335.13,16,45-54,Non-binary,Electronics
CUST-00654,Budget,2023-05-17,306.63,13,65+,Non-binary,Toys
CUST-00655,Budget,2023-12-17,9.84,14,25-34,Female,Clothing
CUST-00656,Budget,2023-01-22,143.34,18,18-24,Female,Clothing
CUST-00657,Budget,2023-12-14,19.49,17,18-24,Male,Beauty Products
CUST-00658,Mainstream,2023-06-09,430.58,5,35-44,Prefer not to say,Electronics
CUST-00659,Mainstream,2023-05-27,669.10,4,25-34,Non-binary,Beauty Products
CUST-00660,Mainstream,2022-12-06,597.67,10,55-64,Female,Toys
CUST-00661,Budget,2022-01-28,515.70,7,55-64,Male,Toys
CUST-00662,Luxury,2022-07-05,15413.44,6,45-54,Non-binary,Kitchen Appliances
CUST-00663,Mainstream,2022-11-25,1054.79,20,45-54,Prefer not to say,Kitchen Appliances
CUST-00664,Premium,2022-03-30,2821.82,11,18-24,Prefer not to say,Electronics
CUST-00665,Mainstream,2022-08-09,1843.02,8,45-54,Non-binary,Clothing
CUST-00666,Luxury,2022-03-07,11689.75,14,45-54,Prefer not to say,Electronics
CUST-00667,Budget,2022-03-12,468.71,6,35-44,Male,Clothing
CUST-00668,Budget,2023-06-17,53.02,10,35-44,Non-binary,Toys
CUST-00669,Mainstream,2022-03-27,990.64,20,65+,Female,Electronics
CUST-00670,Premium,2023-03-03,3962.30,11,35-44,Male,Toys
CUST-00671,Budget,2022-02-02,357.99,1,55-64,Non-binary,Beauty Products
CUST-00672,Mainstream,2023-04-20,887.09,2,45-54,Male,Toys
CUST-00673,Budget,2023-07-16,164.57,16,18-24,Non-binary,Kitchen Appliances
CUST-00674,Mainstream,2022-07-04,881.20,20,45-54,Female,Clothing
CUST-00675,Budget,2022-07-26,491.06,8,25-34,Male,Clothing
CUST-00676,Premium,2023-09-05,1425.93,1,18-24,Prefer not to say,Electronics
CUST-00677,Mainstream,2023-07-03,644.34,18,18-24,Male,Toys
CUST-00678,Premium,2023-09-27,1303.04,5,35-44,Non-binary,Clothing
CUST-00679,Mainstream,2022-10-03,864.60,8,55-64,Male,Electronics
CUST-00680,Mainstream,2022-09-07,813.12,15,65+,Non-binary,Beauty Products
CUST-00681,Mainstream,2022-08-06,1182.16,13,25-34,Prefer not to say,Electronics
CUST-00682,Luxury,2023-06-27,8709.31,17,65+,Prefer not to say,Kitchen Appliances
CUST-00683,Mainstream,2022-05-30,778.74,6,25-34,Male,Clothing
CUST-00684,Mainstream,2022-05-20,1656.23,18,55-64,Prefer not to say,Toys
CUST-00685,Mainstream,2022-04-29,1550.54,18,65+,Female,Beauty Products
CUST-00686,Mainstream,2022-04-19,600.35,4,55-64,Female,Beauty Products
CUST-00687,Premium,2022-10-08,3224.64,9,55-64,Non-binary,Beauty Products
CUST-00688,Luxury,2023-10-10,2073.02,1,65+,Non-binary,Toys
CUST-00689,Mainstream,2022-02-28,794.40,2,35-44,Female,Electronics
CUST-00690,Mainstream,2022-05-22,1177.69,16,35-44,Male,Toys
CUST-00691,Premium,2023-10-02,970.76,15,35-44,Non-binary,Electronics
CUST-00692,Mainstream,2023-07-29,408.58,10,35-44,Non-binary,Toys
CUST-00693,Mainstream,2023-07-17,623.61,15,65+,Male,Electronics
CUST-00694,Mainstream,2022-12-19,1737.06,16,65+,Male,Clothing
CUST-00695,Mainstream,2022-02-08,1146.52,17,18-24,Non-binary,Beauty Products
CUST-00696,Budget,2022-08-29,391.47,13,35-44,Male,Electronics
CUST-00697,Budget,2023-02-07,209.66,6,55-64,Male,Clothing
CUST-00698,Luxury,2023-06-04,4529.10,16,65+,Male,Kitchen Appliances
CUST-00699,Mainstream,2023-04-22,1183.32,7,35-44,Prefer not to say,Kitchen Appliances
CUST-00700,Mainstream,2022-03-12,470.11,7,55-64,Male,Beauty Products
CUST-00701,Premium,2023-06-02,1480.97,5,65+,Male,Toys
CUST-00702,Premium,2022-06-30,5047.40,10,18-24,Non-binary,Clothing
CUST-00703,Premium,2022-08-02,3078.03,11,18-24,Non-binary,Clothing
CUST-00704,Premium,2022-09-19,2738.13,8,25-34,Female,Electronics
CUST-00705,Mainstream,2023-05-29,773.83,18,35-44,Female,Clothing
CUST-00706,Mainstream,2022-04-14,1341.81,1,35-44,Female,Toys
CUST-00707,Luxury,2022-08-29,8718.29,10,35-44,Female,Clothing
CUST-00708,Budget,2023-01-30,223.11,9,55-64,Female,Electronics
CUST-00709,Mainstream,2022-06-30,1557.15,12,55-64,Male,Toys
CUST-00710,Mainstream,2022-02-02,804.60,12,65+,Non-binary,Toys
CUST-00711,Premium,2023-04-12,1661.31,3,25-34,Prefer not to say,Clothing
CUST-00712,Mainstream,2022-03-29,516.36,2,65+,Prefer not to say,Kitchen Appliances
CUST-00713,Premium,2023-02-16,4147.13,14,35-44,Female,Beauty Products
CUST-00714,Mainstream,2023-04-16,1011.68,16,18-24,Prefer not to say,Kitchen Appliances
CUST-00715,Mainstream,2023-12-28,16.75,15,45-54,Male,Toys
CUST-00716,Mainstream,2023-10-04,401.51,11,65+,Male,Clothing
CUST-00717,Premium,2023-11-02,334.23,16,45-54,Female,Clothing
CUST-00718,Mainstream,2022-04-20,671.52,10,55-64,Non-binary,Electronics
CUST-00719,Budget,2023-01-27,303.78,6,45-54,Male,Clothing
CUST-00720,Mainstream,2022-08-08,2157.19,13,45-54,Male,Toys
CUST-00721,Mainstream,2022-12-15,1705.24,7,65+,Male,Toys
CUST-00722,Mainstream,2023-10-26,112.47,13,35-44,Non-binary,Clothing
CUST-00723,Mainstream,2022-10-26,1773.48,13,25-34,Female,Kitchen Appliances
CUST-00724,Premium,2022-11-30,3933.48,16,45-54,Prefer not to say,Beauty Products
CUST-00725,Budget,2022-12-21,208.45,10,65+,Prefer not to say,Toys
CUST-00726,Premium,2023-01-01,3839.67,12,25-34,Prefer not to say,Electronics
CUST-00727,Mainstream,2022-11-01,1515.98,4,35-44,Female,Toys
CUST-00728,Luxury,2023-05-11,7186.67,3,45-54,Female,Kitchen Appliances
CUST-00729,Budget,2022-12-28,173.54,11,25-34,Male,Clothing
CUST-00730,Budget,2022-09-18,155.34,10,35-44,Non-binary,Toys
CUST-00731,Premium,2023-09-02,1431.57,11,18-24,Female,Kitchen Appliances
CUST-00732,Budget,2022-08-28,127.79,4,18-24,Prefer not to say,Kitchen Appliances
CUST-00733,Premium,2023-01-07,4845.53,10,35-44,Male,Electronics
CUST-00734,Mainstream,2022-03-09,537.34,11,45-54,Male,Beauty Products
CUST-00735,Premium,2023-09-22,867.09,19,65+,Prefer not to say,Kitchen Appliances
CUST-00736,Mainstream,2023-05-26,1081.38,13,35-44,Male,Electronics
CUST-00737,Budget,2022-08-02,469.54,8,65+,Prefer not to say,Clothing
CUST-00738,Mainstream,2022-12-25,1202.29,9,65+,Female,Clothing
CUST-00739,Mainstream,2023-02-15,886.78,4,55-64,Female,Beauty Products
CUST-00740,Mainstream,2022-06-28,936.18,6,65+,Prefer not to say,Kitchen Appliances
CUST-00741,Premium,2023-06-15,2438.20,13,18-24,Non-binary,Beauty Products
CUST-00742,Budget,2022-12-01,375.69,11,45-54,Male,Beauty Products
CUST-00743,Premium,2022-11-04,2192.15,7,18-24,Prefer not to say,Beauty Products
CUST-00744,Premium,2023-03-19,2030.61,1,65+,Prefer not to say,Toys
CUST-00745,Mainstream,2022-10-26,1006.28,14,45-54,Female,Kitchen Appliances
CUST-00746,Budget,2023-07-25,169.59,3,18-24,Non-binary,Clothing
CUST-00747,Mainstream,2022-05-24,791.76,17,65+,Prefer not to say,Electronics
CUST-00748,Budget,2022-12-25,277.01,2,25-34,Male,Clothing
