COMPANY,DESCRIPTION
"Dime Community Bancshares, Inc.","""Dime Community Bancshares, Inc. is the parent company of Dime Community Bank, a New York-based financial institution providing a range of banking services to individuals and businesses. With a history dating back to 1864, the company has established itself as a trusted and stable financial partner in the communities it serves."""
Adobe Inc.,"""Adobe Inc. is a multinational computer software company that creates and markets a wide range of software products and services used for creating, editing, and publishing digital content. The company's product portfolio includes popular brands such as Photoshop, Acrobat, and Creative Cloud, which are used by individuals, businesses, and governments worldwide."""
"Applied Optoelectronics, Inc.","""Applied Optoelectronics, Inc. is a leading developer and manufacturer of advanced optical communications products, including laser diodes, photodetectors, and optical transceivers. The company's high-performance products enable high-speed data transmission and are used in a variety of applications, including data centers, fiber-to-the-home, and telecommunications networks."""
"PayPal Holdings, Inc.","""PayPal Holdings, Inc. is a leading technology platform and digital payments company that enables individuals and businesses to send and receive payments online. The company's platform provides a range of payment solutions, including online payment processing, mobile payments, and person-to-person transactions, to over 400 million active accounts worldwide."""
"MercadoLibre, Inc.","""MercadoLibre, Inc. is a Latin American e-commerce technology company that operates online marketplaces dedicated to e-commerce and online payments. The company provides buyers and sellers with a platform to browse, purchase, and sell goods and services, as well as a range of financial services and solutions."""
Runway,"""Runway is a cutting-edge technology firm that empowers businesses to take off and thrive in the digital landscape. With innovative solutions and expert guidance, Runway helps companies navigate the complexities of modern commerce and reach new heights of success."""
United Therapeutics Corporation,"""United Therapeutics Corporation is a biotechnology company focused on the development and commercialization of innovative therapies for rare and severe diseases. The company's mission is to address the unmet medical needs of patients through its pipeline of novel therapeutics and technologies, with a focus on pulmonary hypertension, oncology, and other rare diseases."""
"Powell Industries, Inc.","""Powell Industries, Inc. is a leading provider of electrical power distribution and control equipment, serving the global markets with innovative solutions and exceptional customer service. With a strong commitment to quality, reliability, and safety, the company designs, manufactures, and services a wide range of products for various industries, including oil and gas, mining, and utilities."""
"DocuSign, Inc.","""DocuSign, Inc. is a leading provider of electronic signature technology and document management services, helping organizations of all sizes to accelerate business and simplify transactions. The company's cloud-based platform enables users to sign, send, and manage documents electronically, eliminating the need for physical paperwork and streamlining workflows."""
"Nuanced, Inc.","""Nuanced, Inc. is a cutting-edge technology firm dedicated to developing innovative solutions that simplify complex problems and enhance user experiences. With a focus on precision and creativity, Nuanced, Inc. delivers tailored products and services that drive business growth and foster meaningful connections."""
"Patterson Companies, Inc.","""Patterson Companies, Inc. is a leading distributor of dental and veterinary supplies, equipment, and technology, serving the needs of professionals in these fields. The company provides a comprehensive range of products and services to help its customers improve the health and well-being of their patients and clients."""
Doppler,"""Doppler is a cutting-edge technology firm that specializes in developing innovative solutions for real-time data analysis and visualization. By harnessing the power of artificial intelligence and machine learning, Doppler empowers businesses to make informed decisions and drive growth through actionable insights."""
Columbia Sportswear Company,"""Columbia Sportswear Company is a leading global outdoor apparel, footwear, and equipment brand that designs, sources, markets, and distributes active outdoor and youth apparel, footwear, accessories, and equipment. The company's products are sold through a variety of channels, including wholesale distribution to specialty retailers, through its own retail stores, and online direct-to-consumer sales."""
HUTCHMED (China) Limited,"""HUTCHMED (China) Limited is a biopharmaceutical company dedicated to the discovery, development, and commercialization of innovative medicines for the treatment of cancer and other diseases. The company has a broad pipeline of drug candidates in development, with a focus on oncology, immunology, and infectious diseases, and has established partnerships with international pharmaceutical companies to accelerate the global development of its pipeline."""
"Agios Pharmaceuticals, Inc.","""Agios Pharmaceuticals, Inc. is a biopharmaceutical company committed to the discovery, development, and commercialization of novel therapeutics in the fields of hematology and oncology. The company's mission is to improve the lives of patients with genetically defined diseases, with a focus on developing innovative treatments that target the underlying biology of these conditions."""
FINNY AI,"""FINNY AI is a cutting-edge technology firm specializing in the development of innovative artificial intelligence solutions for businesses and individuals. By harnessing the power of machine learning and data analytics, FINNY AI empowers its clients to make informed decisions, drive growth, and stay ahead of the curve in an ever-evolving digital landscape."""
"Veritex Holdings, Inc.","""Veritex Holdings, Inc. is a bank holding company that operates through its wholly-owned subsidiary, Veritex Community Bank, to provide financial services to individuals and businesses. The company offers a range of products and services, including commercial and retail banking, mortgage banking, and treasury management, with a focus on building long-term relationships with its customers."""
MarqVision,"""MarqVision is a cutting-edge technology company that specializes in AI-powered brand protection and intellectual property enforcement solutions. By leveraging advanced machine learning algorithms and expert analysis, MarqVision helps global brands detect and prevent counterfeiting, piracy, and other forms of IP infringement."""
"Bentley Systems, Incorporated","""Bentley Systems, Incorporated is a leading global provider of software solutions for advancing the design, construction, and operations of infrastructure, including roads, bridges, buildings, and utilities. The company's comprehensive portfolio of software and services enables professionals to create, manage, and operate infrastructure assets with improved efficiency, sustainability, and resilience."""
Faction,"""Faction is a cutting-edge technology firm that specializes in developing innovative software solutions for businesses and organizations. With a focus on artificial intelligence and data analytics, Faction empowers companies to make informed decisions and drive growth through data-driven insights."""
Hyper,"""Hyper is a cutting-edge technology firm that specializes in developing innovative software solutions for businesses and individuals. With a focus on speed, agility, and customer satisfaction, Hyper delivers high-quality products and services that exceed expectations and drive success."""
"MKS Instruments, Inc.","""MKS Instruments, Inc. is a global provider of instruments, subsystems, and process control solutions that measure, control, power, monitor, and analyze critical parameters of advanced manufacturing processes. The company's products are used in a wide range of applications, including semiconductor manufacturing, pharmaceutical production, and industrial manufacturing, to improve process performance, productivity, and yield."""
Lamin,"""Lamin is a leading provider of innovative materials and solutions, delivering high-quality products that enhance performance and efficiency across various industries. With a strong commitment to research and development, Lamin continues to push the boundaries of technology and manufacturing, driving growth and success for its customers and partners."""
Data Mechanics,"""Data Mechanics is a cutting-edge technology company that specializes in developing innovative data management and analytics solutions for businesses. Our team of experts leverages machine learning, artificial intelligence, and cloud computing to help organizations unlock insights, drive growth, and make data-driven decisions."""
Secured,"""Secured is a leading provider of innovative cybersecurity solutions, dedicated to protecting businesses and individuals from evolving threats. With a strong focus on research and development, Secured delivers cutting-edge technologies that safeguard sensitive information and ensure uninterrupted operations."""
argenx SE,"""argenx SE is a global immunology company committed to improving the lives of people suffering from severe autoimmune diseases and cancer. The company develops and commercializes a pipeline of differentiated antibody therapies designed to modulate the immune system and address significant unmet medical needs."""
Appian Corporation,"""Appian Corporation is a leading provider of low-code automation and enterprise software solutions that enable organizations to build, deploy, and manage powerful applications quickly and efficiently. With a focus on digital transformation, Appian's platform helps companies streamline processes, improve customer experiences, and drive business growth through innovative and intuitive technology."""
Check Point Software Technologies Ltd.,"""Check Point Software Technologies Ltd. is a leading provider of cyber security solutions to governments and corporate enterprises globally, protecting customers from cyber threats with an integrated architecture. The company's solutions include network and endpoint security, cloud security, mobile security, and security management, all designed to provide comprehensive threat prevention and protection."""
"NetApp, Inc.","""NetApp, Inc. is a global leader in cloud data services, empowering global organizations to manage and store their data in a simple, yet powerful way. The company provides a full range of hybrid cloud data services that simplify management of applications and data across cloud and on-premises environments to accelerate digital transformation."""
Bilibili Inc.,"""Bilibili Inc. is a Chinese video sharing website based in Shanghai, where users can submit, view and add commentary subtitles on videos. The platform is primarily used for anime, comic and gaming fans in China, offering a wide range of content including live broadcasting, documentaries, and e-learning courses."""
Pirros,"""Pirros is a dynamic and innovative company that specializes in providing cutting-edge solutions and exceptional services to its clients. With a strong focus on quality, reliability, and customer satisfaction, Pirros strives to build long-lasting relationships and drive success in various industries."""
Elbit Systems Ltd.,"""Elbit Systems Ltd. is an international high technology company engaged in a wide range of defense, homeland security and commercial programs throughout the world. The company develops and supplies a broad portfolio of airborne, land and naval systems, products and services for defense, homeland security and commercial aviation applications."""
Twist Bioscience Corporation,"""Twist Bioscience Corporation is a leading biotechnology company that develops and manufactures synthetic DNA for various industries, including biopharma, agriculture, and data storage. The company's innovative platform enables the rapid and affordable production of high-quality synthetic DNA, empowering customers to advance their research, development, and commercialization of new products and therapies."""
Upgraded,"""Upgraded is a cutting-edge technology firm dedicated to revolutionizing the way businesses operate through innovative software solutions. With a focus on simplicity, scalability, and customer satisfaction, Upgraded empowers companies to streamline processes, enhance productivity, and drive growth."""
GIMO,"""GIMO is a cutting-edge technology firm specializing in innovative software solutions and data-driven services. With a focus on delivering exceptional user experiences, GIMO empowers businesses to streamline operations, enhance productivity, and drive growth through tailored digital transformations."""
Liberty Live Group,"""Liberty Live Group is a dynamic entertainment and events company dedicated to creating unforgettable experiences through innovative productions and exceptional service. With a passion for bringing people together, we specialize in crafting unique and engaging events that leave a lasting impression on our clients and their guests."""
Verint Systems Inc.,"""Verint Systems Inc. is a global leader in Actionable Intelligence, providing enterprise software solutions that help organizations make informed decisions and take effective action. The company's solutions are designed to capture, analyze, and act on large amounts of data to improve customer engagement, enhance security, and optimize operations."""
"Autodesk, Inc.","""Autodesk, Inc. is a global leader in 3D design, engineering, and entertainment software, providing innovative solutions to customers in the architecture, engineering, construction, manufacturing, and media and entertainment industries. The company's software and services enable customers to design, visualize, and simulate their ideas, helping them to create, innovate, and bring their products and projects to life."""
OneSpaWorld Holdings Limited,"""OneSpaWorld Holdings Limited is a global provider of health and wellness services and products onboard cruise ships and in destination resorts, offering a comprehensive range of spa, wellness, and beauty treatments. The company operates a network of spas and wellness centers across the globe, delivering exceptional experiences to its customers and driving growth through its innovative and personalized approach to wellness."""
TeraWulf Inc.,"""TeraWulf Inc. is a leading developer of environmentally sustainable and vertically integrated bitcoin mining facilities, leveraging cutting-edge technology to maximize efficiency and minimize environmental impact. With a focus on innovation and sustainability, TeraWulf is committed to redefining the future of cryptocurrency mining and energy production."""
"CRA International, Inc.","""CRA International, Inc. is a global consulting firm that provides economic, financial, and management consulting services to businesses, governments, and organizations. With expertise in a range of areas, including litigation and regulatory support, strategy development, and performance improvement, CRA helps clients navigate complex challenges and achieve their goals."""
Merchants Bancorp,"""Merchants Bancorp is a bank holding company that provides a wide range of financial services to individuals, businesses, and institutions through its banking and non-banking subsidiaries. With a strong focus on community banking, Merchants Bancorp offers personalized service, innovative products, and tailored solutions to meet the unique needs of its customers."""
Infinera Corporation,"""Infinera Corporation is a global supplier of networking solutions that enable the rapid delivery of high-bandwidth services, and its innovative optical transport network equipment helps to power some of the world's largest and most reliable networks. With a focus on innovation and customer satisfaction, Infinera provides intelligent transport networks that help service providers, cloud operators, and content providers to meet the growing demands of their users."""
"Freshpet, Inc.","""Freshpet, Inc. is a leading manufacturer of high-quality, fresh and natural pet food, offering a range of products that cater to the unique needs of dogs and cats. With a focus on using only the finest ingredients and a commitment to pet health and wellness, Freshpet is dedicated to providing pet owners with a healthier alternative to traditional pet food options."""
StoneX Group Inc.,"""StoneX Group Inc. is a global financial services organization providing execution, risk management and advisory services, and market intelligence to clients across multiple asset classes. The company's diverse range of services includes commodities, securities, foreign exchange, and derivatives, serving commercial and institutional clients, as well as individual investors."""
"Mondelez International, Inc.","""Mondelez International, Inc. is a global snacking powerhouse with a portfolio of iconic brands that lead the future of snacking, including Oreo, Chips Ahoy!, and Trident. The company empowers people to snack right, with a focus on innovation, sustainability, and community involvement, making it a leader in the global snacking industry."""
Quickcard,"""Quickcard is a cutting-edge financial technology company that provides innovative payment solutions and digital wallet services to individuals and businesses worldwide. With a focus on security, convenience, and speed, Quickcard empowers users to make seamless transactions and manage their finances with ease."""
"MARA Holdings, Inc.","""MARA Holdings, Inc. is a leading investment firm dedicated to delivering exceptional returns through strategic acquisitions and innovative partnerships. With a focus on emerging technologies and sustainable growth, MARA Holdings, Inc. drives value creation and long-term success for its stakeholders and portfolio companies."""
"Upbound Group, Inc.","""Upbound Group, Inc. is a technology-driven company that empowers businesses to thrive in a rapidly changing world through innovative solutions and strategic partnerships. With a focus on cloud-native technologies and digital transformation, Upbound Group, Inc. helps organizations unlock their full potential and achieve unparalleled success."""
"Skyworks Solutions, Inc.","""Skyworks Solutions, Inc. is a leading innovator of high-performance analog semiconductors connecting people, places, and things, enabling a growing range of applications across various markets. The company's highly integrated and compact solutions are used in a wide variety of mobile and Internet of Things (IoT) products, including smartphones, tablets, and wearables."""
Icahn Enterprises L.P.,"""Icahn Enterprises L.P. is a diversified conglomerate engaged in a variety of businesses, including investment, automotive, energy, gaming, railcar, and food packaging. The company's primary objective is to maximize long-term value for its shareholders by seeking out undervalued companies and assets and actively working to enhance their performance and profitability."""
"Arcutis Biotherapeutics, Inc.","""Arcutis Biotherapeutics, Inc. is a biopharmaceutical company focused on developing innovative treatments for serious dermatological conditions. The company's pipeline includes novel, topical therapies designed to address significant unmet needs in the treatment of immune-mediated dermatological diseases and conditions."""
"Qorvo, Inc.","""Qorvo, Inc. is a leading provider of innovative RF solutions that connect the world, delivering high-performance products and technologies for a wide range of applications. The company's broad portfolio of products and technologies helps customers improve the performance, efficiency and reliability of their systems, from smartphones and base stations to radar, satellites and more."""
Middesk,"""Middesk is a technology company that provides businesses with a platform to verify and manage identity, compliance, and risk in real-time. By streamlining these processes, Middesk enables companies to onboard customers and partners more efficiently, reducing friction and increasing trust in their business relationships."""
"Blackbaud, Inc.","""Blackbaud, Inc. is a leading provider of cloud-based software and services for social good organizations, helping them to raise funds, manage relationships, and deliver programs more effectively. With a portfolio of solutions for fundraising, marketing, advocacy, and more, Blackbaud empowers nonprofits, foundations, and educational institutions to achieve their missions and make a greater impact."""
Intuit Inc.,"""Intuit Inc. is a global financial technology company that empowers consumers, small businesses, and accounting professionals to improve their financial lives through its innovative financial management tools and services. With a portfolio of well-known brands including TurboTax, QuickBooks, and Mint, Intuit helps its customers manage their finances, pay their employees, and file their taxes with ease and confidence."""
NVIDIA Corporation,"""NVIDIA Corporation is a technology company that designs and manufactures graphics processing units and high-performance computing hardware for gaming, professional visualization, and artificial intelligence applications. The company's innovative products and solutions enable developers to create immersive and interactive experiences, driving growth in industries such as gaming, automotive, and healthcare."""
"Privia Health Group, Inc.","""Privia Health Group, Inc. is a national physician practice management company that partners with top physicians to improve healthcare quality, reduce costs, and enhance the patient experience. Through its platform, Privia Health enables independent physicians to remain independent, practice medicine with greater ease, and thrive in a rapidly changing healthcare environment."""
Sportradar Group AG,"""Sportradar Group AG is a global leader in the sports technology and data industry, providing innovative solutions to sports federations, leagues, and media companies. The company delivers cutting-edge technology, data, and content to help its partners succeed in the ever-changing sports landscape, leveraging its expertise in sports data, betting, and digital media."""
"BGC Group, Inc.","""BGC Group, Inc. is a leading global financial services company that specializes in brokerage, technology, and financial services, providing innovative solutions to clients across various markets. With a strong presence in major financial hubs, the company offers a range of products and services, including brokerage, trading, and investment banking, to institutional and corporate clients worldwide."""
"Grand Canyon Education, Inc.","""Grand Canyon Education, Inc. is a leading provider of educational services, operating Grand Canyon University, an accredited online and campus-based institution that offers a wide range of undergraduate and graduate degree programs. The company's mission is to provide high-quality, affordable education to a diverse student body, with a focus on academic excellence, innovation, and student success."""